iter	MultiClass
0	1.341350015
1	1.106544212
2	0.9782625479
3	0.8679805005
4	0.8146913625
5	0.7703546529
6	0.7360676855
7	0.7052412069
8	0.6837995442
9	0.6531011071
10	0.633054781
11	0.6185425769
12	0.6092846603
13	0.5965302784
14	0.5823135772
15	0.563509279
16	0.5537799174
17	0.5454916543
18	0.5338852239
19	0.5295332845
20	0.5220974253
21	0.513830602
22	0.5063369733
23	0.4983115205
24	0.4899767313
25	0.4825891973
26	0.4773244912
27	0.4726060551
28	0.4689991953
29	0.4669030376
30	0.4601131724
31	0.4533542247
32	0.4501160395
33	0.4454997905
34	0.4407611358
35	0.4389892235
36	0.4348737743
37	0.4312749891
38	0.4277317457
39	0.4257679644
40	0.4201312537
41	0.4173413509
42	0.4131724444
43	0.4104848074
44	0.4089641277
45	0.4060669582
46	0.4038152119
47	0.4009660978
48	0.3991785592
49	0.3954027663
50	0.393794316
51	0.3929356583
52	0.3878844643
53	0.3840458929
54	0.3803392131
55	0.3787896793
56	0.3768708698
57	0.3714319978
58	0.3699914458
59	0.3684706051
60	0.3673441421
61	0.3654183776
62	0.363485129
63	0.3627588448
64	0.3614083842
65	0.3596064872
66	0.3583729365
67	0.3568057361
68	0.3551891645
69	0.3528750259
70	0.3511500349
71	0.3484267596
72	0.3470061719
73	0.3455735395
74	0.3443997837
75	0.3429306022
76	0.3411740245
77	0.3386246901
78	0.3361935018
79	0.3343399661
80	0.33338901
81	0.332086219
82	0.3292008362
83	0.3277841579
84	0.3265853864
85	0.326111443
86	0.3246097584
87	0.321828311
88	0.3206644465
89	0.3197640763
90	0.3172183941
91	0.3158152074
92	0.3138423616
93	0.3125842977
94	0.312004622
95	0.3113069513
96	0.3099572038
97	0.3087707795
98	0.3079493866
99	0.3066121321
100	0.3050451744
101	0.3030516585
102	0.3013315552
103	0.300847582
104	0.3002083265
105	0.2980452551
106	0.2971867842
107	0.2963826713
108	0.2958470449
109	0.2940522498
110	0.2931023688
111	0.291759073
112	0.2903933611
