iter	Passed	Remaining
0	24	24440
1	45	22757
2	63	20968
3	80	20101
4	100	20033
5	124	20623
6	143	20419
7	161	20077
8	178	19619
9	195	19401
10	213	19192
11	231	19036
12	246	18715
13	263	18539
14	279	18322
15	294	18085
16	309	17913
17	324	17715
18	340	17571
19	355	17414
20	374	17462
21	394	17524
22	411	17488
23	430	17518
24	450	17553
25	467	17531
26	484	17446
27	500	17360
28	515	17270
29	530	17148
30	545	17039
31	561	16991
32	580	17006
33	598	16997
34	616	16997
35	632	16941
36	649	16909
37	667	16909
38	686	16903
39	701	16827
40	718	16815
41	736	16799
42	754	16799
43	772	16774
44	788	16737
45	806	16720
46	823	16699
47	841	16697
48	860	16693
49	877	16677
50	892	16612
51	906	16528
52	922	16477
53	937	16428
54	955	16414
55	971	16376
56	986	16319
57	1003	16300
58	1020	16271
59	1035	16217
60	1051	16186
61	1069	16175
62	1086	16158
63	1102	16123
64	1120	16111
65	1136	16085
66	1153	16063
67	1171	16050
68	1188	16038
69	1206	16023
70	1221	15978
71	1235	15928
72	1250	15880
73	1266	15844
74	1281	15804
75	1306	15879
76	1325	15893
77	1341	15856
78	1357	15827
79	1373	15791
80	1389	15762
81	1405	15731
82	1424	15734
83	1441	15720
84	1459	15713
85	1475	15679
86	1492	15659
87	1513	15684
88	1531	15671
89	1547	15648
90	1563	15621
91	1579	15587
92	1596	15571
93	1612	15542
94	1628	15511
95	1644	15483
96	1659	15451
97	1676	15434
98	1696	15438
99	1714	15433
100	1730	15406
101	1749	15405
102	1766	15387
103	1785	15380
104	1802	15363
105	1820	15355
106	1836	15324
107	1854	15313
108	1870	15291
109	1885	15258
110	1902	15233
111	1919	15219
112	1934	15186
113	1952	15172
114	1967	15141
115	1982	15106
116	2000	15097
117	2017	15078
118	2033	15053
119	2051	15042
120	2067	15022
121	2086	15013
122	2103	14996
123	2118	14968
124	2134	14944
125	2149	14912
126	2164	14879
127	2180	14854
128	2194	14818
129	2209	14787
130	2225	14762
131	2240	14736
132	2256	14709
133	2275	14705
134	2291	14683
135	2307	14657
136	2324	14641
137	2341	14628
138	2359	14616
139	2377	14607
140	2395	14596
141	2413	14584
142	2431	14572
143	2448	14557
144	2467	14547
145	2483	14528
146	2499	14503
147	2516	14486
148	2530	14452
149	2547	14437
150	2565	14423
151	2583	14410
152	2601	14399
153	2618	14385
154	2635	14367
155	2653	14355
156	2673	14353
157	2693	14351
158	2709	14330
159	2726	14314
160	2744	14300
161	2762	14288
162	2778	14269
163	2797	14260
164	2813	14238
165	2827	14207
166	2844	14186
167	2860	14167
168	2878	14156
169	2896	14144
170	2914	14131
171	2932	14115
172	2949	14098
173	2966	14081
174	2983	14064
175	3065	14350
176	3083	14335
177	3138	14492
178	3160	14495
179	3177	14474
180	3195	14459
181	3213	14441
182	3230	14420
183	3247	14402
184	3264	14383
185	3281	14360
186	3298	14342
187	3315	14320
188	3331	14296
189	3348	14276
190	3366	14257
191	3382	14234
192	3399	14215
193	3443	14308
194	3461	14289
195	3498	14352
196	3530	14391
197	3558	14414
198	3577	14399
199	3590	14361
200	3607	14339
201	3625	14323
202	3643	14303
203	3661	14286
204	3679	14268
205	3697	14250
206	3714	14230
207	3732	14212
208	3750	14194
209	3768	14176
210	3785	14156
211	3802	14132
212	3841	14192
213	3862	14187
214	3884	14181
215	3911	14197
216	3957	14281
217	3974	14257
218	3990	14230
219	4009	14214
220	4027	14196
221	4046	14182
222	4064	14160
223	4081	14140
224	4098	14118
225	4116	14098
226	4136	14085
227	4178	14146
228	4205	14158
229	4224	14141
230	4246	14136
231	4272	14142
232	4292	14128
233	4312	14116
234	4331	14099
235	4353	14091
236	4370	14069
237	4388	14049
238	4402	14016
239	4418	13992
240	4434	13965
241	4451	13943
242	4469	13923
243	4487	13903
244	4504	13881
245	4522	13860
246	4540	13840
247	4557	13819
248	4590	13843
249	4639	13919
250	4675	13952
251	4709	13977
252	4736	13984
253	4753	13962
254	4768	13932
255	4786	13910
256	4803	13886
257	4821	13866
258	4838	13842
259	4857	13825
260	4874	13802
261	4892	13782
262	4909	13758
263	4927	13738
264	4944	13715
265	4962	13694
266	4991	13702
267	5026	13729
268	5045	13712
269	5065	13694
270	5084	13677
271	5111	13679
272	5147	13707
273	5170	13699
274	5185	13671
275	5204	13651
276	5221	13627
277	5237	13602
278	5254	13579
279	5274	13562
280	5292	13542
281	5309	13518
282	5328	13498
283	5345	13475
284	5362	13452
285	5379	13431
286	5397	13408
287	5415	13389
288	5433	13366
289	5450	13345
290	5468	13324
291	5486	13301
292	5502	13278
293	5520	13256
294	5538	13235
295	5555	13212
296	5573	13193
297	5590	13169
298	5607	13147
299	5626	13127
300	5643	13105
301	5658	13079
302	5675	13055
303	5693	13034
304	5710	13012
305	5728	12991
306	5771	13027
307	5798	13028
308	5816	13007
309	5849	13019
310	5880	13027
311	5903	13017
312	5917	12987
313	5934	12964
314	5950	12940
315	5965	12911
316	5980	12884
317	5995	12858
318	6011	12832
319	6027	12809
320	6043	12782
321	6081	12805
322	6102	12790
323	6118	12765
324	6133	12738
325	6149	12714
326	6176	12711
327	6219	12741
328	6236	12719
329	6290	12771
330	6308	12749
331	6334	12746
332	6374	12768
333	6389	12740
334	6404	12712
335	6419	12686
336	6434	12659
337	6451	12635
338	6468	12613
339	6483	12586
340	6500	12561
341	6516	12536
342	6531	12511
343	6547	12486
344	6562	12458
345	6578	12434
346	6594	12410
347	6611	12386
348	6629	12365
349	6645	12341
350	6660	12315
351	6676	12291
352	6693	12268
353	6709	12244
354	6725	12219
355	6740	12192
356	6754	12166
357	6769	12139
358	6784	12113
359	6802	12092
360	6816	12066
361	6830	12037
362	6844	12010
363	6859	11985
364	6874	11960
365	6889	11934
366	6916	11929
367	6954	11943
368	6972	11923
369	7005	11929
370	7044	11942
371	7074	11942
372	7087	11914
373	7102	11888
374	7119	11866
375	7136	11842
376	7153	11821
377	7170	11799
378	7186	11775
379	7204	11754
380	7221	11731
381	7238	11710
382	7254	11687
383	7272	11666
384	7290	11646
385	7308	11625
386	7326	11605
387	7344	11585
388	7373	11582
389	7411	11592
390	7428	11570
391	7454	11562
392	7493	11573
393	7510	11551
394	7537	11545
395	7576	11556
396	7590	11529
397	7606	11505
398	7625	11485
399	7642	11463
400	7658	11440
401	7677	11420
402	7693	11397
403	7711	11376
404	7729	11355
405	7746	11332
406	7763	11311
407	7781	11291
408	7800	11271
409	7818	11250
410	7837	11232
411	7855	11211
412	7871	11187
413	7886	11162
414	7902	11139
415	7920	11118
416	7938	11098
417	7954	11075
418	7970	11052
419	7986	11029
420	8001	11005
421	8019	10983
422	8034	10959
423	8050	10936
424	8067	10915
425	8082	10891
426	8097	10866
427	8113	10843
428	8129	10820
429	8144	10796
430	8160	10772
431	8175	10749
432	8190	10725
433	8204	10700
434	8221	10678
435	8237	10655
436	8253	10633
437	8269	10610
438	8284	10586
439	8298	10562
440	8314	10538
441	8329	10514
442	8345	10492
443	8361	10471
444	8379	10450
445	8397	10430
446	8414	10409
447	8429	10386
448	8447	10366
449	8464	10345
450	8483	10326
451	8498	10303
452	8514	10281
453	8529	10258
454	8544	10234
455	8559	10210
456	8575	10188
457	8594	10170
458	8612	10151
459	8629	10130
460	8644	10107
461	8662	10087
462	8679	10066
463	8696	10045
464	8713	10025
465	8732	10006
466	8749	9986
467	8765	9964
468	8783	9944
469	8798	9921
470	8812	9898
471	8827	9875
472	8843	9853
473	8859	9831
474	8875	9809
475	8890	9786
476	8906	9765
477	8921	9742
478	8937	9721
479	8954	9700
480	8971	9679
481	8987	9659
482	9005	9639
483	9023	9619
484	9040	9599
485	9058	9580
486	9076	9560
487	9094	9542
488	9113	9523
489	9131	9504
490	9147	9482
491	9163	9461
492	9179	9440
493	9196	9420
494	9214	9400
495	9230	9379
496	9246	9357
497	9262	9336
498	9277	9314
499	9291	9291
500	9306	9269
501	9320	9246
502	9335	9224
503	9351	9203
504	9368	9182
505	9384	9162
506	9402	9143
507	9419	9123
508	9438	9104
509	9452	9082
510	9469	9061
511	9486	9041
512	9502	9020
513	9516	8998
514	9531	8976
515	9547	8955
516	9564	8935
517	9582	8916
518	9600	8897
519	9617	8877
520	9632	8855
521	9648	8834
522	9662	8812
523	9677	8791
524	9694	8770
525	9710	8750
526	9725	8728
527	9739	8706
528	9753	8684
529	9768	8662
530	9784	8642
531	9800	8621
532	9815	8600
533	9831	8579
534	9846	8557
535	9862	8537
536	9879	8518
537	9895	8497
538	9912	8478
539	9929	8458
540	9946	8438
541	9965	8421
542	9980	8399
543	9996	8379
544	10014	8360
545	10031	8341
546	10049	8322
547	10065	8302
548	10082	8282
549	10100	8264
550	10118	8245
551	10135	8226
552	10153	8206
553	10170	8187
554	10186	8167
555	10204	8148
556	10221	8129
557	10239	8110
558	10256	8091
559	10274	8072
560	10289	8051
561	10305	8031
562	10323	8012
563	10343	7996
564	10360	7976
565	10376	7956
566	10391	7935
567	10407	7915
568	10424	7896
569	10440	7876
570	10458	7857
571	10475	7838
572	10492	7818
573	10510	7800
574	10527	7781
575	10544	7762
576	10562	7743
577	10578	7723
578	10599	7706
579	10633	7700
580	10667	7693
581	10691	7678
582	10714	7663
583	10739	7649
584	10760	7633
585	10780	7616
586	10798	7597
587	10817	7579
588	10836	7561
589	10855	7543
590	10873	7525
591	10890	7505
592	10906	7485
